================ Training Loss (Wed Sep 17 18:25:08 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 1.274, data: 8.117) , G_GAN: 3.490, G_L1: 14.032, D_real: 0.056, D_fake: 0.045

[Rank 0] (epoch: 2, iters: 50, time: 1.315, data: 0.001) , G_GAN: 3.455, G_L1: 16.188, D_real: 0.019, D_fake: 0.063

[Rank 0] (epoch: 2, iters: 150, time: 1.298, data: 0.001) , G_GAN: 2.724, G_L1: 16.293, D_real: 0.003, D_fake: 0.159

[Rank 0] (epoch: 3, iters: 100, time: 1.300, data: 9.550) , G_GAN: 2.062, G_L1: 8.046, D_real: 0.121, D_fake: 0.066

[Rank 0] (epoch: 4, iters: 50, time: 1.267, data: 0.001) , G_GAN: 4.739, G_L1: 16.742, D_real: 0.072, D_fake: 0.012

[Rank 0] (epoch: 4, iters: 150, time: 2.676, data: 0.001) , G_GAN: 4.163, G_L1: 13.726, D_real: 0.201, D_fake: 0.043

[Rank 0] (epoch: 5, iters: 100, time: 1.265, data: 13.423) , G_GAN: 2.939, G_L1: 12.066, D_real: 0.004, D_fake: 1.284

[Rank 0] (epoch: 6, iters: 50, time: 1.118, data: 0.001) , G_GAN: 1.815, G_L1: 10.645, D_real: 0.322, D_fake: 0.083

[Rank 0] (epoch: 6, iters: 150, time: 1.354, data: 0.001) , G_GAN: 2.013, G_L1: 17.626, D_real: 0.002, D_fake: 2.219

[Rank 0] (epoch: 7, iters: 100, time: 1.276, data: 8.774) , G_GAN: 1.449, G_L1: 8.903, D_real: 0.644, D_fake: 0.097

[Rank 0] (epoch: 8, iters: 50, time: 1.324, data: 0.001) , G_GAN: 2.140, G_L1: 12.230, D_real: 0.045, D_fake: 0.526

[Rank 0] (epoch: 8, iters: 150, time: 1.338, data: 0.002) , G_GAN: 0.836, G_L1: 6.704, D_real: 0.745, D_fake: 0.151

[Rank 0] (epoch: 9, iters: 100, time: 1.202, data: 8.725) , G_GAN: 1.432, G_L1: 7.149, D_real: 0.361, D_fake: 0.416

[Rank 0] (epoch: 10, iters: 50, time: 0.956, data: 0.001) , G_GAN: 0.575, G_L1: 7.847, D_real: 0.729, D_fake: 0.369

[Rank 0] (epoch: 10, iters: 150, time: 0.902, data: 0.011) , G_GAN: 0.946, G_L1: 5.993, D_real: 0.392, D_fake: 0.576

[Rank 0] (epoch: 11, iters: 100, time: 1.298, data: 5.696) , G_GAN: 2.341, G_L1: 13.250, D_real: 0.115, D_fake: 0.289

[Rank 0] (epoch: 12, iters: 50, time: 1.271, data: 0.001) , G_GAN: 2.144, G_L1: 9.741, D_real: 0.059, D_fake: 0.511

[Rank 0] (epoch: 12, iters: 150, time: 1.342, data: 0.001) , G_GAN: 2.108, G_L1: 9.154, D_real: 0.191, D_fake: 0.335

[Rank 0] (epoch: 13, iters: 100, time: 1.254, data: 6.802) , G_GAN: 0.505, G_L1: 5.160, D_real: 2.331, D_fake: 0.082

[Rank 0] (epoch: 14, iters: 50, time: 1.351, data: 0.001) , G_GAN: 1.049, G_L1: 6.224, D_real: 0.490, D_fake: 0.182

[Rank 0] (epoch: 14, iters: 150, time: 1.221, data: 0.001) , G_GAN: 1.521, G_L1: 8.448, D_real: 0.354, D_fake: 0.272

[Rank 0] (epoch: 15, iters: 100, time: 1.319, data: 5.307) , G_GAN: 2.300, G_L1: 9.191, D_real: 0.101, D_fake: 0.315

[Rank 0] (epoch: 16, iters: 50, time: 1.247, data: 0.002) , G_GAN: 0.936, G_L1: 5.641, D_real: 0.178, D_fake: 0.755

[Rank 0] (epoch: 16, iters: 150, time: 1.392, data: 0.002) , G_GAN: 0.933, G_L1: 6.293, D_real: 0.615, D_fake: 0.198

[Rank 0] (epoch: 17, iters: 100, time: 1.250, data: 6.398) , G_GAN: 1.608, G_L1: 10.054, D_real: 0.021, D_fake: 0.877

[Rank 0] (epoch: 18, iters: 50, time: 1.214, data: 0.002) , G_GAN: 1.123, G_L1: 6.858, D_real: 0.682, D_fake: 0.227

[Rank 0] (epoch: 18, iters: 150, time: 1.317, data: 0.001) , G_GAN: 2.091, G_L1: 7.632, D_real: 0.173, D_fake: 0.271

[Rank 0] (epoch: 19, iters: 100, time: 1.317, data: 6.324) , G_GAN: 2.359, G_L1: 16.548, D_real: 0.006, D_fake: 0.271

[Rank 0] (epoch: 20, iters: 50, time: 1.220, data: 0.001) , G_GAN: 0.951, G_L1: 12.000, D_real: 1.294, D_fake: 0.066

[Rank 0] (epoch: 20, iters: 150, time: 1.277, data: 0.001) , G_GAN: 2.698, G_L1: 11.017, D_real: 0.182, D_fake: 0.159

[Rank 0] (epoch: 21, iters: 100, time: 1.275, data: 6.844) , G_GAN: 2.256, G_L1: 8.613, D_real: 0.098, D_fake: 0.231

[Rank 0] (epoch: 22, iters: 50, time: 1.312, data: 0.001) , G_GAN: 1.800, G_L1: 16.066, D_real: 0.027, D_fake: 1.648

[Rank 0] (epoch: 22, iters: 150, time: 1.239, data: 0.000) , G_GAN: 1.900, G_L1: 6.586, D_real: 0.085, D_fake: 0.676

[Rank 0] (epoch: 23, iters: 100, time: 1.367, data: 6.286) , G_GAN: 1.213, G_L1: 6.247, D_real: 0.868, D_fake: 0.097

[Rank 0] (epoch: 24, iters: 50, time: 1.246, data: 0.002) , G_GAN: 1.519, G_L1: 6.049, D_real: 0.630, D_fake: 0.285

[Rank 0] (epoch: 24, iters: 150, time: 1.366, data: 0.001) , G_GAN: 0.717, G_L1: 5.175, D_real: 0.708, D_fake: 0.338

[Rank 0] (epoch: 25, iters: 100, time: 1.401, data: 7.057) , G_GAN: 2.076, G_L1: 13.195, D_real: 0.032, D_fake: 0.468

[Rank 0] (epoch: 26, iters: 50, time: 1.316, data: 0.002) , G_GAN: 1.614, G_L1: 6.178, D_real: 1.202, D_fake: 0.163

[Rank 0] (epoch: 26, iters: 150, time: 1.311, data: 0.001) , G_GAN: 1.282, G_L1: 5.652, D_real: 0.161, D_fake: 0.592

[Rank 0] (epoch: 27, iters: 100, time: 1.404, data: 7.153) , G_GAN: 1.659, G_L1: 6.816, D_real: 0.263, D_fake: 0.573

[Rank 0] (epoch: 28, iters: 50, time: 1.317, data: 0.001) , G_GAN: 1.800, G_L1: 8.361, D_real: 0.142, D_fake: 0.590

[Rank 0] (epoch: 28, iters: 150, time: 1.290, data: 0.001) , G_GAN: 1.718, G_L1: 7.429, D_real: 0.208, D_fake: 0.414

[Rank 0] (epoch: 29, iters: 100, time: 1.264, data: 7.655) , G_GAN: 1.430, G_L1: 9.010, D_real: 0.080, D_fake: 1.219

[Rank 0] (epoch: 30, iters: 50, time: 1.399, data: 0.002) , G_GAN: 1.433, G_L1: 6.278, D_real: 1.304, D_fake: 0.068

[Rank 0] (epoch: 30, iters: 150, time: 1.301, data: 0.001) , G_GAN: 2.418, G_L1: 8.051, D_real: 0.041, D_fake: 1.328

[Rank 0] (epoch: 31, iters: 100, time: 0.987, data: 7.204) , G_GAN: 1.494, G_L1: 6.811, D_real: 0.231, D_fake: 0.697

